Index,FEN,Answer1,Answer2,CorrectAnswer
289,2r3k1/5pp1/p4n1p/1p1pQ3/1P2p3/P3P1Pq/5P1P/2R2RK1 b - - 0 1,Re8,Ng4,Answer1
290,6k1/bP3p2/4n1pp/4P3/3N2PK/5B2/7P/8 w - - 0 1,Ne2,Nc6,Answer1
291,r2q1rk1/1bppbppp/1p3n2/p2P2N1/4NB2/3Q4/PPP2PPP/R4RK1 b - - 0 1,Ba6,Nxd5,Answer2
292,7r/1p1bkp2/2pNpn1p/q1P1B1p1/4p3/2N5/1P3PPP/4KB1R b K - 0 1,Ra8,Qxc5,Answer1
293,rn2q1k1/pp3bbp/2p2p2/3p2p1/3P1B1N/2N2Q2/PPP2PPP/R5K1 w - - 0 1,Bxb8,Nf5,Answer1
294,k4r2/pp4pp/1q6/3pN3/4b1Q1/1B4b1/PP4PP/RN5K w - - 0 1,Nd2,Nf3,Answer2
295,1r2q2k/2p3pp/ppR5/1n2r3/2B2Q2/1P4P1/7P/5RK1 b - - 0 1,h6,Re4,Answer2
296,8/2R2N2/3P2k1/7p/2P2p2/5P1P/3n1rPK/8 w - - 0 1,Ne5+,d7,Answer1
297,3rr1k1/pp3ppp/2p5/3Bqb2/2P1P3/P7/1P1R2PP/3Q1RK1 b - - 0 1,Bg6,cxd5,Answer2
298,5k2/6pp/4B3/5p2/5Pn1/3R4/1r4PP/6K1 w - - 0 1,h3,g3,Answer2
299,4r1k1/2Q2ppp/8/2B5/p1n5/Pq1b1BP1/5P1P/3R2K1 w - - 0 1,Qd7,Be7,Answer2
300,8/5kp1/1B3p1p/8/4R1PP/r5K1/8/8 w - - 0 1,Kf4,Kf2,Answer2
301,r5k1/5p2/1pN1pbp1/1Pn5/5PP1/3p3R/7P/2R3K1 w - - 0 1,g5,Rd1,Answer2
302,r4qk1/ppp3pp/8/2b1QbN1/3p4/8/PPP2PPP/R5K1 b - - 0 1,Bd6,Rd8,Answer2
303,r4rk1/pp3pp1/8/2qpp1N1/6QP/2N5/PP2KP2/R7 b - - 0 1,Qb6,Rad8,Answer1
304,rnbk3r/pppp1p1p/5p2/8/2B5/4Q3/P2KNP1q/4R1R1 b - - 0 1,Qd6+,Re8,Answer1
305,3r2k1/pq1Rn1pp/1p3p2/2p2Q2/2N1P3/PP6/5PPP/2R3K1 b - - 0 1,Rxd7,Qxd7,Answer2
306,r2q1rk1/ppp2ppp/2nb4/1B3b2/3Qn3/2P2N2/PP3PPP/RNB1R1K1 w - - 0 1,Qd5,Bxc6,Answer2
307,8/8/7P/p7/5pK1/1k3N2/8/2b5 b - - 0 1,a4,Bb2,Answer2
308,3k4/2b5/p1p3p1/P1Pnp3/6B1/1N1K2P1/5P2/8 w - - 0 1,Ke4,Be2,Answer2
309,2rq3r/1p1nbpk1/p3p1p1/3pP3/3N1BQ1/8/PPP2P1P/R5RK b - - 0 1,Rh4,Kg8,Answer2
310,5k2/2r4p/2q3pP/4R3/1p2P3/pP1Q4/P1P3P1/1K6 w - - 0 1,Qf3+,Rd5,Answer2
311,2r4k/p3qp2/n2bpNpP/1p1b4/4pP1Q/2B1P3/PPr3RP/6RK b - - 0 1,Rxg2,,Answer2
312,8/6k1/2N1R3/3p1r1p/3P4/R4pPP/1r3K2/8 w - - 0 1,Kf1,Ke3,Answer1
313,6k1/6pp/1p3p2/pP2p3/1rP1P3/3K2P1/3N4/8 b - - 0 1,Kf7,a4,Answer1
314,r1b2rk1/1ppq1ppp/p2p1n2/8/2B1P3/1QNPP3/PP4PP/R4RK1 w - - 0 1,Rxf6,Nd5,Answer1
315,4b1r1/p3P3/5k2/2p1NP1p/8/1P1P4/P6P/5RK1 w - - 0 1,Kh1,Ng6,Answer2
316,r1bk4/ppp5/2np3p/4p2q/4P1n1/2NP2K1/PPP3PP/R1BQ1R2 b - - 0 1,Nd4,Qxh2+,Answer2
317,3r1k2/2p1np1p/p1P5/4B3/6b1/8/PPP2PpP/R1K1R3 w - - 0 1,b3,Bxc7,Answer1
318,8/4Q2p/6p1/1p4k1/pPp5/P2r2P1/5K1P/1q6 b - - 0 1,Kf5,Kg4,Answer1
319,rn1qkb1r/pbp2ppp/1p2p3/3pP3/3PnB2/2NQ1P2/PPP3PP/R3KBNR b KQkq - 0 1,Nxc3,Qh4+,Answer1
320,6k1/1p3ppN/pb6/1P6/P5n1/6P1/7P/3R3K w - - 0 1,Ng5,Rd7,Answer2
321,r1bqr1k1/pp1p1p1p/6pQ/2pNP1b1/2B5/8/PPP2PPP/R4RK1 w - - 0 1,Qh3,Nf6+,Answer1
322,r5k1/2p1Q1b1/pp1p2pp/3Nn3/3B4/8/PP2q1PP/5RK1 w - - 0 1,Bxe5,Qxc7,Answer1
323,1r1r4/4qpkp/8/1pN2R2/1P4n1/8/1Q4PP/2R3K1 b - - 0 1,Kg8,f6,Answer1
324,4r3/pp2r1pk/6p1/4n2p/1nN5/1N5P/PP3PP1/R3R1K1 w - - 0 1,Rxe5,Nd6,Answer1
325,r2q1rk1/ppp2pbp/3p2p1/3Pp3/2P5/1P3Q2/PB1P1PPP/R4RK1 w - - 0 1,Rae1,Bc3,Answer2
326,r1bq3r/pppp1Qpp/5n2/2b5/5P1k/3P4/PPnN2KP/R1B3R1 b - - 0 1,Bxg1,g6,Answer2
327,2r3k1/5pp1/p1b1p2p/1pP1P1n1/3P2q1/P3P3/4R1PP/1BR1Q1K1 w - - 0 1,e4,Kh1,Answer2
328,2k4r/1pp1b1pp/6pn/4p2r/5P2/P3B1P1/4q1BP/R1Q2RK1 w - - 0 1,Rf2,Bf3,Answer1
329,r4rk1/2qp1ppp/bbp2n2/4p3/1P2P3/2N1B3/2PQBPPP/3R1RK1 w - - 0 1,Na4,Bxa6,Answer2
330,2b2rk1/1p6/7p/1BR5/r4n2/8/1PP3PP/5RK1 w - - 0 1,Bxa4,Rxc8,Answer2
331,r3b1k1/ppp3p1/6rp/3q1p1Q/4N3/P2P2PP/1PP2P2/2R1RK2 w - - 0 1,Nc3,g4,Answer2
332,6r1/2r1qppk/b6p/p2pPN2/1p3Q1P/3P2R1/PP4P1/1K3R2 b - - 0 1,Qe6,Qc5,Answer1
333,r1bqkbnr/pp3ppp/2n5/4P3/3pP3/5N2/PP3PPP/RNBQKB1R w KQkq - 0 1,Bb5,Nbd2,Answer2
334,7k/ppp3bp/3p1r2/3Pp3/2P2nq1/2N2R2/PP4PQ/4R1K1 b - - 0 1,Ne2+,Rg6,Answer1
335,6k1/1p2r3/p1p1r2p/P2pnQp1/8/2P2PqP/1P2R1P1/1B3R1K w - - 0 1,f4,b3,Answer2
336,3r2k1/pbqrppbp/1p4p1/2pnP3/4BP2/2P3NP/PP2Q1P1/R1BR2K1 w - - 0 1,Kh2,Bf3,Answer1
337,2r1k2r/pp1bbp1p/1q2p2p/3pP3/1n1P4/NP3N2/P3BPPP/2RQ1RK1 b k - 0 1,Nxa2,O-O,Answer2
338,8/8/4k1p1/7p/4KP1P/8/8/8 w - - 0 1,Kf3,Ke3,Answer2
339,br4k1/p4R1p/1q6/8/2Q5/7P/P5P1/7K b - - 0 1,Bxg2+,Qb1+,Answer1
340,r3k1nr/pp4pp/n3b3/1N3pB1/3bp2P/P5P1/4PP2/2R1KBNR b Kkq - 0 1,Kf7,Bb6,Answer2
341,r3b1k1/pp3rp1/2n1p1Np/q2pB3/3P4/2P3Q1/P4PPP/R4RK1 b - - 0 1,Nxe5,Rf5,Answer1
342,5qk1/1bp4r/1p1b2p1/p6p/B1Pn3N/P7/2Q2PPP/2B1R1K1 w - - 0 1,Nxg6,Qd3,Answer2
343,3b2k1/6p1/3P2p1/p1p5/Pp6/1P3nPP/2K5/3R4 b - - 0 1,Ne5,Kf7,Answer1
344,r1bqkb1r/pp3ppp/2n1pn2/3p4/3P4/1P3N2/PBP2PPP/RN1QKB1R w KQkq - 0 1,Bd3,Bb5,Answer1
345,8/8/7K/8/8/5Q2/8/q4k2 b - - 0 1,Kg1,Ke1,Answer1
346,rnb1k2r/1p2bppp/p3pn2/3p2B1/1q1NP3/1PNB1P1P/P1PQ2P1/R3K2R b KQkq - 0 1,h6,Qxd4,Answer1
347,r3q2k/p1Q3b1/2p4p/4pp2/2P3n1/1P2P1P1/PB2NP2/3R2K1 w - - 0 1,Kg2,Nf4,Answer2
348,r4rk1/pp2bppp/2p1pn2/6B1/3q4/P2B1Q2/1PP2PPP/R2R2K1 b - - 0 1,Qc5,Qg4,Answer1
349,3rr1k1/p4p1p/1p4p1/1P6/q1p3P1/5N1P/1Q2BPK1/7R w - - 0 1,Ra1,Rc1,Answer2
350,r6k/4PQ1p/6p1/8/5P1K/6P1/P6P/5q2 b - - 0 1,Qe2,g5+,Answer2
351,r1b2rk1/1pp2ppp/3q1n2/3pp3/p2nP3/P2PQ1P1/N1PB1P1P/1K1R1BNR b - - 0 1,Qxa3,Ng4,Answer2
352,r3k2r/pp1b4/4p1p1/2b1PnNp/2Q2P2/3R4/PP6/2K5 w kq - 0 1,Qxc5,Rxd7,Answer2
353,8/1R6/3kp3/3r2p1/4K1P1/8/8/8 b - - 0 1,e5,Re5+,Answer2
354,r1b2rk1/pp1pbppp/1qn1pn2/6B1/2P5/P3PN2/1P1Q1PPP/RN2KB1R w KQ - 0 1,Nc3,b4,Answer1
355,r5k1/5ppp/3Pq1rn/1Bp1p3/P3Pb2/1PN2P2/6QN/R2R3K w - - 0 1,Qe2,Bc4,Answer1
356,bn1k1b1r/p2p1p1p/6p1/3np3/3N4/2P1P2P/Pq1B1PP1/R2QKB1R w KQ - 0 1,Rb1,e4,Answer1
357,7r/p4pp1/1p1b1k2/8/2PpPq2/3P3p/1P3P2/R1B2KQ1 b - - 0 1,h2,Qf3,Answer1
358,3r1k1r/p1R2pp1/4p2p/2p1R3/8/6P1/P4P1P/6K1 b - - 0 1,Rd5,c4,Answer2
359,4R3/pppr2kp/6p1/6N1/2P5/6P1/n4PKP/8 w - - 0 1,Ne6+,Ra8,Answer2
360,7k/NQ4p1/1p5p/4PPnr/1P1R4/6P1/P1r3KP/5R2 w - - 0 1,Rf2,Kh1,Answer1
361,r4r2/1p2n3/pk1qn3/2p4p/2P4N/P1KPQ2P/1P4B1/1N2R3 b - - 0 1,Nd4,Nf4,Answer2
362,2r5/pp6/7Q/1p6/3r4/PKN2pk1/6q1/R1B5 w - - 0 1,Qg7+,Be3,Answer1
363,8/3rk3/4p2p/n1R2pp1/p2N4/Pp2P1PP/1P4K1/8 b - - 0 1,Nb7,Rd5,Answer1
364,8/1pk3pp/1n2bp2/4p3/pR2P3/P1N2P2/1PK3PP/r2B4 w - - 0 1,Kd2,Nxa4,Answer1
365,8/8/8/8/r1pP4/2P5/4kP2/2KN4 w - - 0 1,Nb2,f4,Answer1
366,8/4n3/5kp1/2N2p2/r4P2/2P2KP1/4R3/8 b - - 0 1,Rc4,Ra3,Answer2
367,rn2k3/pp3q1p/7b/2p1p3/3p2RN/3P1N1P/PP2PK2/R2Q4 w q - 0 1,Qg1,Qb3,Answer2
368,6k1/5p1p/1p1N1K2/2rp2p1/R3p3/4P2P/6r1/8 b - - 0 1,Rc6,Ra5,Answer2
369,8/pp2kp2/4p2p/2Pp4/1P2nPn1/P2QP2q/7N/R4R1K w - - 0 1,Qe2,Ra2,Answer2
370,1r3rk1/2p2p2/2Bq2p1/1PnP1bBp/P7/Q3p3/3N1PPP/1R4K1 w - - 0 1,Nc4,Bxe3,Answer2
371,8/8/8/p1R5/PpB5/1PrPk3/8/1K6 w - - 0 1,Re5+,Rg5,Answer2
372,r1bqk2r/pppp1ppp/2n5/8/1bBPn3/2N2N2/PP2QPPP/R1B1K2R b KQkq - 0 1,O-O,Qe7,Answer2
373,2r5/1p3qNk/p2R3p/3bB3/6Q1/2r1p2P/P1P3P1/7K b - - 0 1,Rxc2,,Answer2
374,rn1qk1nr/pp1bppbp/3p2p1/1BpP4/4P3/3Q4/PPP2PPP/RNB1K1NR w KQkq - 0 1,Nf3,a4,Answer2
375,r2r1k2/1p3p2/1qp2p1p/5N2/3Pp3/7P/n5P1/R2QR1K1 w - - 0 1,Rxe4,Qd2,Answer2
376,3r2k1/pp3rp1/7p/7P/2pP1N2/6P1/PPK1R3/8 b - - 0 1,Rxd4,b5,Answer2
377,5r1k/Q3b3/1p3qp1/2p3N1/2P4P/6P1/P4P2/4R1K1 w - - 0 1,Rxe7,Qxe7,Answer2
378,8/1p3p2/1r3k2/rP1p1Np1/1RnPp1P1/4P3/5PK1/1R6 b - - 0 1,Na3,Ke6,Answer2
379,2Q3k1/5pp1/1q1p3p/4pP2/6Pb/3B4/1P3PP1/6K1 b - - 0 1,Qd8,Kh7,Answer1
380,r2qk2r/pp2bpp1/3pbn1p/2p1p1B1/4P3/P1NP1QP1/1PP2PBP/R4RK1 w kq - 0 1,Bxf6,Be3,Answer1
381,r1b1k1nr/pppp1p1p/2n2qp1/2b1p3/2B1P3/5N1Q/PPPP1PPP/RNB1K2R w KQkq - 0 1,d3,Qg3,Answer2
382,r4k1r/3pq2p/2bb4/6p1/p1p1PPB1/P1Q5/3R2P1/1NK1R3 b - - 0 1,Bxf4,Rg8,Answer2
383,1r1qkb1r/2p1n1pp/p1n5/1p1BpbB1/8/2N5/PPP2PPP/R2QK1NR b KQk - 0 1,h6,Nb4,Answer2
384,r3kb1r/5pp1/pq1pb2p/1P2p3/4n3/N4Q2/PP1B1PPP/R3KB1R b KQkq - 0 1,Qd4,d5,Answer2
385,4k2r/3b2pp/5p1n/1p1Bp3/pP6/3NP3/P1r2PPP/2R1K2R b K - 0 1,Rxc1+,Rxa2,Answer1
386,r2qr1k1/pp3p1p/3bbp1B/2p1P3/2Bp4/1Q6/PPP2PPP/2KR3R b - - 0 1,Bf8,Bxe5,Answer1
387,4N2r/4R3/1k1p4/2p5/q5Pp/2PP3Q/1P3P2/1K6 w - - 0 1,Nxd6,Qf3,Answer2
388,rn1q1r2/1p2bppk/5P1p/p3p3/P1B4P/2pPBP1R/1PPQ4/R3K3 w Q - 0 1,Qg2,Qxc3,Answer1
389,r7/1bp4Q/3p1kN1/3P4/pp2r3/1P6/P1P4P/1K6 w - - 0 1,bxa4,Qxc7,Answer1
390,2r1k2r/1p1bqppp/p2b1n2/3pn3/3Q4/P1NBPN2/1P1B1PPP/R3K2R b KQk - 0 1,Bc5,Nxd3+,Answer2
391,3rr1k1/1pp1npp1/2pq3p/1p6/4PP2/2P3R1/PPQ1B1PP/5RK1 w - - 0 1,Bh5,Bd3,Answer2
392,r3k2r/1p3p1p/2b1p1pB/2bpP3/P2q2Q1/8/3N1PPP/R1R3K1 w kq - 0 1,Qg3,Be3,Answer1
393,1q4k1/p4pp1/1p1bp3/6p1/PPP1Q1P1/8/6K1/7R b - - 0 1,Qc7,Bxb4,Answer1
394,8/2B3p1/k3N3/3p2p1/B2Pb1n1/8/1PP2K2/RN1r4 w - - 0 1,Kg3,Ke2,Answer2
395,1r1q1rk1/pbppppbp/1pn2np1/4N3/2PP1B2/2N3P1/PP2PPBP/R2Q1RK1 b - - 0 1,d6,Nxe5,Answer2
396,r2q2rk/pp3p2/2pb1n2/3p1Q2/8/3R4/PPP3PP/1K1NR3 b - - 0 1,Rxg2,Rg6,Answer2
397,r5k1/pb2b1pp/4p3/q1p1Br2/3p4/1P1B1P2/n1PN1KPP/R4Q1R w - - 0 1,Nc4,Bxf5,Answer1
398,rn2k1r1/p1b5/2p2p1p/4p3/1BP1R3/PB4Pq/3Q1P2/R5K1 w q - 0 1,Re3,Ba5,Answer1
399,r2qkb1r/1b3ppp/p1p1p3/1pP1N3/PP1Pp3/2B1P3/5PPP/R2QK2R b KQkq - 0 1,f6,Qd5,Answer2
400,r1b1kbnr/pp2pppp/3p4/q7/1nP1P3/8/PP1Q1PPP/RNB1KBNR w KQkq - 0 1,Nc3,a3,Answer1
401,R4nk1/5pp1/5b2/3B3p/5B2/5P1P/1r4P1/2K5 b - - 0 1,Rb5,Rxg2,Answer1
402,r1b1k2r/ppp1nppp/3p1q2/2b1p3/3nP3/2NP1N2/PPP1BPPP/R1BQ1RK1 w kq - 0 1,Bg5,Nxd4,Answer2
403,1r2r3/2qb2pk/5b2/p1BP1N2/7p/1P1Q3P/P7/1K1R2R1 b - - 0 1,Bb5,Qxc5,Answer1
404,r4rk1/p1Q3pp/2p5/2Np4/1P6/P4q1P/2P2PK1/R4R2 w - - 0 1,Kh2,Kg1,Answer1
405,1r3rk1/3q1p2/8/6Q1/6pN/P1P3P1/7P/R5K1 b - - 0 1,Kh8,Kh7,Answer2
406,8/4b3/4p2k/4K2P/3B2p1/1p6/8/6N1 w - - 0 1,Kxe6,Ne2,Answer2
407,r1b2rk1/pp2bppp/2n1pn2/qN1p2B1/3P4/P2BPN2/1PQ2PPP/R3K2R w KQ - 0 1,b4,Nc3,Answer2
408,rnbq1rk1/pp2bppp/3p1n2/3pp1B1/4P3/2N2N2/PPP1BPPP/R2Q1RK1 w - - 0 1,Nxd5,Bxf6,Answer2
409,4R1k1/p1p3r1/1p1p4/3P1p2/2q4b/7Q/P5PK/8 b - - 0 1,Kh7,Kf7,Answer2
410,1k6/ppp5/5P2/8/1n6/q6B/1R5Q/K1R5 w - - 0 1,Ra2,Kb1,Answer2
411,3r4/5pk1/1b3qp1/1P2R2p/2B2P1P/3Q2P1/6K1/8 w - - 0 1,Qe2,Rd5,Answer1
412,8/1k1p1p2/p4r2/8/1P2qn1p/2P1N3/2RK1Q2/3R4 w - - 0 1,Qf1,Re1,Answer1
413,1k5r/pp4pp/8/3ppb2/5q2/3R4/PPQ2PPP/2R3K1 b - - 0 1,Rc8,Bxd3,Answer1
414,4q3/4rk1p/Q2p2p1/3Ppp2/P1P2P2/1P2R1KP/8/8 w - - 0 1,Qxd6,fxe5,Answer2
415,3r1k2/2rpnppp/p1bRp3/4N3/4P3/2P1N3/P4PPP/3R2K1 b - - 0 1,f6,Bxe4,Answer1
416,8/r1q1r1kp/2p1Q1p1/pp1p4/8/1P1P4/P4PPP/1RR3K1 w - - 0 1,Qxc6,Qg4,Answer2
417,r1bqr1k1/1p3ppp/pbn1pn2/3p4/1P3B2/2PBPN2/P2N1PPP/R2Q1RK1 w - - 0 1,Ne5,a4,Answer1
418,8/5p2/6p1/1pn5/6P1/k3NP2/P7/1K6 b - - 0 1,Kb4,Na4,Answer1
419,5rk1/3Bb2p/5pp1/4p3/8/1br1B3/5PPP/RR5K b - - 0 1,Bf7,Rd8,Answer1
420,3r4/1b1r2k1/pn4p1/3p1p2/2p4R/2q1PBP1/PP2NP2/3R2K1 w - - 0 1,Nxc3,bxc3,Answer2
421,3rr1k1/1p3ppp/3p1P2/8/p1P1N3/PqQK1PBB/7P/R7 w - - 0 1,Bxd6,fxg7,Answer2
422,r2qk3/p2bbn1Q/8/n7/8/8/P4PPP/RN2R1K1 b - - 0 1,Kf8,Bc6,Answer1
423,2r1r1k1/1b1p1ppp/p2n3q/1p6/3Q4/2PB1P2/1P1N2PP/2KR3R b - - 0 1,Nc4,Nf5,Answer1
424,8/1p4p1/1r5p/5K1P/3k1P2/8/1P2R1P1/8 w - - 0 1,g4,g3,Answer2
425,r1b1kb1r/p2ppppp/2p2n2/q7/4P3/2N5/PPPB1PPP/R2QKB1R b KQkq - 0 1,Ba6,Rb8,Answer2
426,8/1p2r1k1/p1n2p2/5Qp1/2q1Pb2/2P2P2/PP1K2P1/3R3R w - - 0 1,Kc2,Ke1,Answer2
427,6k1/5pbp/6p1/PKQ5/2B5/2q1P3/2b5/8 b - - 0 1,Qb2+,Bf8,Answer1
428,5r2/pp4pk/8/1P1B1P1p/PP1p4/3N1Pb1/2r5/R4R1K w - - 0 1,Bxb7,Rg1,Answer1
429,1k1r3r/n5R1/1p2p1np/pP1pPppb/Pq1P4/5NP1/2Q1RPNP/1B4K1 b - - 0 1,Rc8,Bxf3,Answer1
430,rn5r/pbppkppp/1p6/1B1n4/1b6/2N5/PPPBNPPP/R3K2R b KQ - 0 1,Re8,Nxc3,Answer2
431,8/pb5k/1pq3p1/5pPp/1PP2Q2/P5KP/4B3/8 w - - 0 1,Bf3,Qe5,Answer1
432,r1b2rk1/1p1nqppp/p1n1p3/3pP3/3N1P2/2N5/PPPQB1PP/R4RK1 b - - 0 1,Qb4,b5,Answer1
