Index,FEN,Answer1,Answer2,CorrectAnswer
433,2rqk2r/ppb2p2/2p2n1p/3p4/3P1PQ1/1N2P1B1/P5PP/2R2RK1 w k - 0 1,Qf5,Qg7,Answer1
434,8/1p4pk/8/4p1p1/1B4qp/P6R/5PBK/8 w - - 0 1,Bc5,Bd2,Answer2
435,2kr1b1r/1pp2p1p/p1N3p1/3q1R2/3Pn2Q/2P4P/PP4P1/RNB3K1 b - - 0 1,Qxf5,gxf5,Answer2
436,r4rk1/1ppnqpp1/p2Np2p/5b2/3P1P2/P2B2P1/1PP1Q2P/R1B1K2R b KQ - 0 1,Qxd6,cxd6,Answer1
437,r3k2r/p1p2p2/1pnq3p/3p2p1/3P4/4P3/PP3PPP/R2QKB1R w KQkq - 0 1,Bb5,Rc1,Answer2
438,2r2kn1/5p1p/4b1p1/8/P2QPq2/3P4/1R3PPP/1R4K1 w - - 0 1,Rb8,g3,Answer2
439,8/6KP/3q4/2p3N1/2P5/1k1P3P/8/8 b - - 0 1,Qd4+,Qe7+,Answer1
440,3rR1k1/6pp/2pb4/3p2P1/p1pB4/P1P1Qr2/1Pq4P/R6K b - - 0 1,Rxe8,Kf7,Answer1
441,r1bqk2r/2p2p2/3p3b/pp1Pp2p/4P3/1P4BP/1PPNQP2/2KRR3 w kq - 0 1,Kb1,Qxh5,Answer1
442,r2q1rk1/1p2bp1p/p1b1pp1B/3pP3/8/2NQ4/PPP3PP/2KR3R b - - 0 1,Kh8,Re8,Answer1
443,5R2/3P4/5bpk/5p1p/4p3/8/2K5/8 b - - 0 1,Be7,Kg5,Answer1
444,1r4k1/3b1ppp/3qp3/2pp4/1P1Q4/2P1PBP1/5P1P/1R4K1 w - - 0 1,Qxc5,Qd2,Answer2
445,2kr4/6pp/5q2/8/1Q1p4/8/PBr2PPP/R3R1K1 w - - 0 1,Rac1,Rf1,Answer2
446,8/6pk/1P5p/8/2p1q1n1/6B1/P5PP/2Q3K1 w - - 0 1,Qc3,Bf2,Answer2
447,2r3r1/pp6/1n1R4/6pk/2p1pp2/2P1P2P/PP3PP1/3R2K1 b - - 0 1,Rg6,f3,Answer1
448,r2qkb1r/ppp2ppp/1n2bn2/8/2PP4/4BN2/PP3PPP/RN1QKB1R b KQkq - 0 1,Bxc4,Nxc4,Answer2
449,r4rk1/ppp2ppp/1bnp2q1/3Nn2b/2P5/P3PN1R/1B1PBPP1/R2QK3 b Q - 0 1,Bg4,Bxf3,Answer2
450,6r1/1Q4k1/3p1qn1/3Pp3/4Ppp1/5P2/3K1BP1/7R b - - 0 1,Qe7,Qf7,Answer1
451,8/8/p3b3/1p3N2/1P4P1/P1k5/5K2/8 b - - 0 1,Kb3,Kb2,Answer2
452,6k1/4rppn/2b1p2p/1p1pP3/qPpP4/2P2N1P/r1N2PP1/2RQ1RK1 w - - 0 1,Ra1,Ne3,Answer2
453,r4rk1/1p3ppp/pqn1pb1n/8/2BP4/PP3N2/1B3PPP/R2Q1RK1 b - - 0 1,Bxd4,Nf5,Answer2
454,8/P5k1/q5p1/2Qpb1p1/1n6/5P1P/4N1P1/7K b - - 0 1,Nc6,Nd3,Answer1
455,5Q2/1q5k/4r1p1/7p/P4B2/1P5P/5P1K/8 b - - 0 1,Qxb3,Qe7,Answer2
456,3r3n/pQnk3p/2p1pb1q/2P3p1/3PN3/6P1/1B5P/4R1K1 b - - 0 1,Rf8,Be7,Answer2
457,6k1/5p1p/4p1p1/4P1QP/4q1P1/5PK1/2r5/8 b - - 0 1,Qe1+,Qe2,Answer1
458,2kr4/ppp2p2/3p2p1/6q1/P3Pr2/4QPPp/1PP4P/1R3RK1 b - - 0 1,Rf5,Qc5,Answer1
459,3rr2k/pp2N1bp/4R1p1/8/8/8/P4PPP/4R1K1 b - - 0 1,Rf8,Bf8,Answer1
460,4rrk1/p2q2pp/1p6/2p2p2/1PNn1N2/3P2P1/P1PQ1PbP/R4RK1 w - - 0 1,Nxg2,Kxg2,Answer2
461,8/pppk4/8/1P3R2/6r1/8/1r5P/4R2K b - - 0 1,Kd6,Rh4,Answer1
462,8/8/2pR4/p1Pk4/6p1/3nB1P1/r4PK1/8 b - - 0 1,Kc4,Ke4,Answer1
463,r4k2/p4r2/2p4Q/2Pp1p2/1n1P4/q5P1/6B1/5RK1 b - - 0 1,Ke7,Kg8,Answer2
464,5k2/pp3p2/4p3/3rP2R/4K2n/P1B5/1P3P2/8 b - - 0 1,Ng6,Nf5,Answer1
465,r1bqk2r/ppp2pbp/2npp1p1/7n/3PPB2/2N1Q3/PPP2PPP/2KR1BNR b kq - 0 1,Nxf4,Qf6,Answer1
466,rnbqkbnr/ppp2ppp/4p3/1P1p4/8/8/PBPPPPPP/RN1QKBNR b KQkq - 0 1,a6,Bc5,Answer1
467,5r1k/1p4p1/p1p1Q2p/P1Pn1pq1/3P4/8/1P3PPP/3RR1K1 w - - 0 1,Qd7,Rd3,Answer1
468,4r1k1/2p2ppp/1p1p1q2/r7/6Q1/PP6/1P3PPP/2KRR3 b - - 0 1,Re6,Rxe1,Answer1
469,r4rk1/p1qn1ppp/1pN2n2/2bp4/8/P1N4P/1PP2PP1/R1BQ1RK1 w - - 0 1,Ne7+,Nb4,Answer2
470,5r1k/1p1r2pq/p1pN4/4pp2/2P2p1P/P3bP2/1PP5/1K1R1Q1R b - - 0 1,Rfd8,Qg6,Answer2
471,3k4/3p3p/PKB2pp1/4r3/8/6P1/8/8 b - - 0 1,Re6,dxc6,Answer1
472,8/8/k3r3/8/K1R1P3/NP6/8/4r3 w - - 0 1,Nc2,Nb5,Answer1
473,1r3rk1/p1pq1p1n/3p2bQ/3Np3/2P1P2b/1P5P/P3BPP1/R4RK1 b - - 0 1,Bf6,Qd8,Answer2
474,3r3k/5p2/5Pp1/2pq2p1/P3N3/1p1PQ3/1P3P2/2K5 b - - 0 1,Kg8,c4,Answer1
475,r1bq2k1/ppnnp1b1/7R/4p1N1/2P1p3/6Q1/PP4P1/R3KB2 b Q - 0 1,Qe8,Nf8,Answer1
476,8/8/4kp1p/2Bqp1p1/1Q4P1/5nKP/5P2/8 b - - 0 1,Nh4,Qd3,Answer1
477,r1b3k1/pp1n3p/1qp1pnpB/3pNr2/1b1P4/1B4Q1/PPP1NPPP/R4RK1 b - - 0 1,Bd6,Nxe5,Answer2
478,2r3k1/2q3bp/p2pR1p1/3p1pB1/B2P4/1P3N2/PK3PPP/3R4 w - - 0 1,Rd2,Rc1,Answer2
479,r2r2k1/p5p1/n3bp1p/qp6/3Np2P/1PP5/PK2NQ2/5R1B w - - 0 1,Rg1,Nxe6,Answer1
480,r2q1bkr/pp1np1pp/5n2/3N2N1/4PPb1/1Q6/PP4PP/R1B1K2R b KQ - 0 1,Qa5+,e6,Answer2
481,r1bqk1nr/ppp2ppp/3b4/1P1pp3/3Q4/P3P3/2P2PPP/RNB1KBNR w KQkq - 0 1,Qxd5,Qb2,Answer2
482,8/8/2p5/8/3k4/8/2K5/8 b - - 0 1,Kc4,c5,Answer1
483,3Rnr2/pp3pkp/4b2p/q3p3/4P2Q/P7/1P3PPP/3R2K1 b - - 0 1,Qc7,Nf6,Answer1
484,3Q4/rp6/1Rpp1k2/p1n1p3/P3Pn1K/2N2P2/1PP3q1/8 b - - 0 1,Kg6,Kf7,Answer2
485,5rk1/p2q1p2/4pQp1/2p1P1Np/3n4/7R/P1P2PPP/1R4K1 w - - 0 1,Rd1,c4,Answer2
486,8/8/R6p/P4p1k/1r5P/5PK1/8/8 b - - 0 1,Rxh4,f4+,Answer2
487,6k1/1p1n4/1npR1pPP/5R2/1p2r3/1P6/6P1/7K w - - 0 1,g3,g7,Answer1
488,3R4/2K5/8/Prk5/3n4/8/8/8 w - - 0 1,a6,Re8,Answer2
489,8/8/5n1P/1k4N1/8/pK6/8/8 b - - 0 1,Kc6,Kc5,Answer1
490,4k3/pR5p/6p1/2bP4/r3p1NP/6P1/5P2/4K3 b - - 0 1,h5,Bd4,Answer2
491,r1bqk2r/p1p1bppp/3p1n2/2p1Q3/4P3/2N2N2/PPP2PPP/R1B1K2R w KQkq - 0 1,Qg3,Qf4,Answer2
492,8/p1b2Bpk/4R2p/8/6P1/7P/PPP4r/3r1RK1 b - - 0 1,Rh1+,Rdd2,Answer1
493,8/5kpQ/1pp5/p2p2q1/2P1n3/1P6/1P5R/7K w - - 0 1,Qh5+,Rg2,Answer2
494,rn1q2k1/pbN2ppp/1p2r3/2b5/2Bp1Q2/5N2/PPP2PPP/R4RK1 b - - 0 1,Rf6,Bd6,Answer1
495,3k4/2q5/3rp3/1Q3p2/5Pp1/8/6PP/R5K1 b - - 0 1,Ke7,Qd7,Answer1
496,7k/6p1/7p/2Q3bP/K5P1/1p6/2b5/8 w - - 0 1,Kb4,Qc4,Answer2
497,8/4R3/4pB2/r3P2p/6p1/2p2kP1/2P2P1P/6K1 w - - 0 1,h3,Rxe6,Answer1
498,r1bq1bkr/ppp3pp/2np4/4p1N1/4P1n1/2NP1Q2/PPP2PPP/R1B1K2R b KQ - 0 1,Nd4,Nf6,Answer2
499,4r1k1/5p2/1b5p/3R2p1/1Pq5/1N1Q2P1/P3rPP1/5RK1 b - - 0 1,Qxb4,Qxd3,Answer2
500,5rk1/pp4p1/2p4p/3pqP2/8/2P1nR2/PP4PP/1BQ3K1 b - - 0 1,Nxf5,Ng4,Answer2
501,r2qk2r/3b1p2/2pBp2p/pp1n2p1/3Pp3/2P5/P1PQBPPP/1R3RK1 b kq - 0 1,f5,Bc8,Answer2
502,r4r1k/1ppqbpRp/p1n2n1B/4p1Q1/B3P3/2pP1P1P/PPP2P2/2KR4 b - - 0 1,Ne8,Ng8,Answer1
503,r5k1/p2qbppp/1p6/8/2Q5/2B2P2/PP4PP/4R1K1 b - - 0 1,Bc5+,Rc8,Answer1
504,r2n1rk1/p2q2b1/P1pN2np/2P5/4p3/3P1pP1/2NB1P1P/1R1Q1K1B w - - 0 1,dxe4,Nxe4,Answer1
505,1b2r1k1/ppq5/2p1n1p1/4npNp/8/2P2Q1P/PPB3P1/2B1R1K1 w - - 0 1,Qf2,Qe2,Answer1
506,8/1k3p2/1pn1p2p/2pr4/8/P1PPR1P1/1P4P1/5NK1 b - - 0 1,b5,Ne5,Answer1
507,5r2/2pnN1pk/p2pp3/1p2p1B1/1P2P1P1/2PPK3/P4rP1/R7 b - - 0 1,Rxg2,Rf1,Answer2
508,5r2/p2r2k1/1p1p2P1/1P2p2p/2P4K/3P1PR1/8/6R1 b - - 0 1,Kh6,d5,Answer2
509,2k3r1/1bpq1p2/1bnp1n2/1N2P2p/3P3r/5QB1/1PB2PP1/R3R1K1 b - - 0 1,Kb8,Nxd4,Answer1
510,rn1qkb1r/pp2pppp/2p2n2/5b2/3PN3/3Q1P2/PPP3PP/R1B1KBNR b KQkq - 0 1,e6,Nbd7,Answer1
511,r1r3k1/p2q1pp1/1p1bp2p/2np4/8/2QPB1PP/PPR1PPB1/2R3K1 b - - 0 1,Ne4,Rc7,Answer2
512,2b1r3/Q1pp1kp1/1p3b1p/8/5P2/2N2nPN/P1PK3P/R7 w - - 0 1,Kc1,Kd3,Answer2
513,1k3r2/4p1bp/q6p/8/3P4/1Q5P/PP3PP1/3R3K b - - 0 1,Qb7,Ka7,Answer2
514,1r3rk1/p1p2ppp/2pq1n2/2Q5/8/3B4/PPP2PPP/R4RK1 w - - 0 1,Qxa7,Qxd6,Answer2
515,2k4r/p1p1np2/1p2p1b1/6p1/1PB5/2P5/P3NKP1/3R4 b - - 0 1,c6,Rd8,Answer1
516,r1bq1rk1/ppp2ppp/2nbpn2/6B1/3Pp3/2N2N2/PPPQ1PPP/R3KB1R w KQ - 0 1,Bxf6,Nxe4,Answer1
517,rnbq2kr/pppp2pp/8/2b1N3/3Pn3/2P5/PP3PPP/RNBQK2R b KQ - 0 1,Be7,Bd6,Answer1
518,5rk1/1bq2ppp/p5r1/1p3Q2/3p1b2/PB1P3P/1PPNRPP1/4R2K b - - 0 1,Bxg2+,Qc6,Answer1
519,6k1/3N1pp1/2p1p2p/1b1pN3/3Pn3/2r1P1P1/R4PKP/8 b - - 0 1,g5,c5,Answer1
520,5rk1/pN4pp/5p2/8/5b2/3PrNqP/PPP2RP1/R2Q2K1 w - - 0 1,Re2,Nc5,Answer2
521,2k4r/p1q3pb/3rpp2/3n3p/1p3P2/3PPN1P/PBP1Q1P1/1K1R3R w - - 0 1,Nd4,e4,Answer1
522,3q1bk1/4rp2/p5pp/1p2Q3/1P6/P6P/2B2PP1/4R1K1 w - - 0 1,Qc3,Qa1,Answer2
523,4r1k1/1Rbq4/2p2p2/p1Pp3Q/3P3P/P4Nr1/1R3K2/8 b - - 0 1,Qe6,Rf8,Answer2
524,8/5p2/1R5P/6k1/8/8/1p3P1K/1r6 b - - 0 1,Ra1,Rf1,Answer1
525,r1b4k/1p1p1Rrp/p5pQ/4q3/4P3/8/PPP3PP/5RK1 b - - 0 1,Rxf7,Qd4+,Answer2
526,r2qkb1r/pp3ppp/2n1bn2/1B1pQ3/5P2/5N2/PPPP2PP/RNB1K2R w KQkq - 0 1,f5,O-O,Answer1
527,r1k4r/1p1n4/p1qbQBpp/8/6P1/1P3P2/P1PP3P/2KR2NR w - - 0 1,Kb1,Bxh8,Answer1
528,8/5p1p/6pP/5q2/p4P2/P1P1Q1R1/1r5k/2NK2R1 w - - 0 1,Rh1+,Qf3,Answer1
529,r1bq1rk1/pp2bppp/4p3/2Pp3n/3P4/2NQ1N2/P4PPP/1RB2RK1 b - - 0 1,b6,Nf4,Answer1
530,r1b2rk1/pp2q1pp/n1pn1p2/3pp2Q/3P1N2/P2BP3/1PP2PPP/1K1R3R b - - 0 1,exf4,e4,Answer2
531,r3k1nr/ppp2ppp/2np1q2/4p3/1b2P1b1/3P1NP1/PPPN1PBP/R1BQK2R w KQkq - 0 1,O-O,c3,Answer2
532,6k1/5pp1/p1p2qr1/3p3p/1PpPrBP1/P1PbR2P/5QP1/4R1K1 w - - 0 1,Rxe4,g5,Answer1
533,2r3k1/1p3ppp/2r3q1/p3p1Q1/3bN1P1/PP1P1P2/2P4R/1R1K4 b - - 0 1,b5,Rxc2,Answer1
534,2k5/1pp5/7P/p1R5/8/P6R/5rr1/1K6 w - - 0 1,h7,Rc1,Answer1
535,8/8/3k2p1/p1p2p1p/PpKp1P1P/3P1B2/6P1/8 w - - 0 1,Bd1,Bd5,Answer1
536,2r5/5r1k/p1npR2p/1p5q/4P3/1P6/PPNQ4/1K4R1 w - - 0 1,Rc1,Qxd6,Answer1
537,8/p7/3q2k1/1p1P1b2/1PK1pB2/P3Q3/8/8 w - - 0 1,Kc3,Kd4,Answer1
538,2R5/8/8/B4n2/3p2r1/8/5K1P/3k4 w - - 0 1,Rc4,Kf3,Answer2
539,3r4/1p2k1pp/p1p1pp2/3r4/PPRP1PP1/4PK1P/8/2R5 b - - 0 1,h5,Kd6,Answer1
540,6k1/p4p1p/3p2p1/1p1Nb3/3p1P2/3q2P1/PP4K1/4Q3 b - - 0 1,Bg7,Qc4,Answer2
541,8/p7/8/6p1/2k3K1/P1P5/8/8 w - - 0 1,a4,Kxg5,Answer1
542,8/2p2kp1/2Pb4/p2q3p/P2B4/5rP1/2P4P/3RQ1K1 w - - 0 1,Bxg7,Qe2,Answer2
543,7r/ppkn1rp1/1bpp3q/4p3/2N5/1PP1PPP1/P1QP3P/R1B2RK1 w - - 0 1,d4,Nxb6,Answer1
544,8/2R2pkp/6p1/prN5/2p5/5PP1/PPKRn2P/4r3 w - - 0 1,Rdd7,b3,Answer1
545,rnb1k2r/pppp1ppp/5q2/8/2PbP1Q1/2N5/PP3PPP/R1B1KB1R w KQkq - 0 1,Qg3,Be3,Answer1
546,6k1/pp4pp/1qp1pr2/8/8/1P3PQ1/P1r3PP/R2R3K b - - 0 1,Rg6,Qc5,Answer2
547,r1b1k3/pp2nrp1/2npp2p/q1b4Q/5B2/2PB2PN/PP1N1P1P/R3K2R w KQq - 0 1,Be2,a3,Answer1
548,r2q1rk1/pp3ppp/5n2/2np1pB1/8/P1P3P1/2P1PPBP/R2Q1RK1 w - - 0 1,Bxd5,Bxf6,Answer2
549,2r3k1/Q4bp1/p4p1p/1p1p3P/8/3B4/PPP4q/1K2R3 b - - 0 1,Qg3,Re8,Answer1
550,r1b1kb1r/pp1n1ppp/2p1qn2/6N1/Q7/2N5/PP1PBPPP/R1B1K2R b KQkq - 0 1,Nc5,Qf5,Answer2
551,r1bq1rk1/p1p3pp/1p1p4/3Np1p1/2BnP3/P2P4/1PP1Q1PP/R1B2R1K w - - 0 1,Nxc7+,Qd2,Answer1
552,8/8/5kp1/3R3p/4r2P/6K1/8/8 w - - 0 1,Rg5,Rc5,Answer2
553,2kr3r/pb1pq2p/1p2ppn1/7Q/7B/1BP5/P4PPP/3RR1K1 w - - 0 1,Bd5,Bg3,Answer2
554,r4rk1/pp4p1/5pP1/3pp3/q2n3R/P3N3/1PP3P1/2K2Q2 b - - 0 1,Nb3+,Rac8,Answer1
555,r1bq2rk/1pp1bp2/5n1p/p2B1N2/3PP3/P4N1n/1P1Q1PP1/R4R1K b - - 0 1,Bxf5,Nxd5,Answer1
556,1r5k/2R5/8/7r/2p2P2/8/1pP5/1K1R4 w - - 0 1,Rxc4,f5,Answer2
557,6k1/6p1/p4p1p/1brpp3/8/QP2PNP1/P1q2PPK/3R4 b - - 0 1,Qc3,Be2,Answer1
558,rnbqkb1r/pp2pppp/2p2n2/8/3PN3/8/PPP1QPPP/R1B1KBNR b KQkq - 0 1,Qxd4,Nbd7,Answer1
559,1r2r1kq/5p1p/3p2p1/1npP1PP1/2R1P3/8/1b1QNBP1/R5K1 w - - 0 1,Ra2,Rb1,Answer1
560,6k1/5ppp/7P/p1qpPbP1/1p1Q1P2/1P6/4N3/4K3 b - - 0 1,Qc6,Qc7,Answer2
561,2kr2n1/pbpnqpp1/1p6/r7/2PP1N1p/2bQ4/PP1BP1PP/1K1R1B1R w - - 0 1,Bxc3,Qxc3,Answer2
562,2R5/3r1p1k/4pPp1/4P2p/8/4Q1K1/P1P5/5q2 b - - 0 1,g5,Rd1,Answer1
563,rn4k1/pp3p1p/1qp3pb/3p4/1P1Q1Pb1/2B3PN/P3r1BP/RN1n1R1K b - - 0 1,Nxc3,Ne3,Answer1
564,6k1/pp3ppp/4r3/3pr3/4nPQ1/1P1Bq2P/P1P3P1/R4R1K b - - 0 1,Nf2+,h5,Answer2
565,3b3k/2p2R2/Q3n2p/P5p1/2Pp4/5NP1/4q2P/7K w - - 0 1,Nd2,Qb5,Answer1
566,4k2r/2p1n1pp/5p2/rp6/3N2b1/8/PPP2KPP/RN2R3 b k - 0 1,Bd7,Kf7,Answer1
567,6k1/2p2p1p/2Nb1np1/p7/6P1/7P/6B1/2B1qQK1 b - - 0 1,Qc3,Qg3,Answer1
568,1r2rbk1/1p1b1p2/p2p1Pp1/q1pNn1Pp/P1P1PB2/7P/1P2Q3/R3RBK1 w - - 0 1,Bd2,Bg2,Answer2
569,rnb2rk1/p4ppp/4pn2/qpbp2N1/8/2P1P3/PPB2PPP/RNBQ1RK1 b - - 0 1,Qc7,g6,Answer1
570,r5k1/1N5p/1P2qpp1/8/1Q1P4/7P/5PP1/6K1 w - - 0 1,Nd6,Nc5,Answer1
571,8/1p2Q2p/p2R2p1/6k1/8/PP2P1P1/2q2r1P/7K b - - 0 1,Kg4,Kh6,Answer1
572,1r2n1k1/1rn2ppp/1p1Bp3/p3P3/P3NP2/6P1/5K1P/2RR4 b - - 0 1,Ra8,Rd8,Answer1
573,r4rk1/p1pn3p/2p2qp1/3n1p2/3P4/P1PB2B1/2Q2PPP/R3R1K1 w - - 0 1,Bc4,f3,Answer2
574,r1q2rk1/5pp1/2pp2np/pNbPp3/PpP1P3/3Q1NPP/1P3PK1/4RR2 w - - 0 1,Rc1,dxc6,Answer2
575,3r2k1/1p3ppp/p2r4/4p3/2BnP3/1P3P2/1PP3PP/2KR3R w - - 0 1,Rd2,c3,Answer2
576,rnbqr1k1/p3bppp/5n2/3pN3/2pP4/2P5/P4PPP/RNBQRBK1 b - - 0 1,Nbd7,Bd6,Answer2
577,r2q1rk1/1pp1bppp/nn2p3/p3P3/P1NP4/4Bb1P/1P2BPP1/R2Q1RK1 w - - 0 1,gxf3,Nxb6,Answer1
